project_id,title,url,country,sector,status,approval_year,scraped_at
59364-001,Green Investment Platform Project,https://www.adb.org/projects/59364-001/main,Thailand,Finance,Proposed,2029,2025-12-14T12:14:40.918987
53378-001,Strengthening Agricultural Tertiary Education Project,https://www.adb.org/projects/53378-001/main,Bangladesh,Education,Proposed,2029,2025-12-14T12:14:40.919159
55361-001,Imphal Ring Road Project,https://www.adb.org/projects/55361-001/main,India,Transport,Proposed,2028,2025-12-14T12:14:40.919269
59427-001,Tourism Infrastructure for Inclusive and Resilient Growth Project,https://www.adb.org/projects/59427-001/main,Cambodia,Water and other urban infrastructure and services,Proposed,2028,2025-12-14T12:14:40.919358
59282-001,Kathmandu Valley Ecological Urban Renewal Project-FMRF,https://www.adb.org/projects/59282-001/main,Nepal,Water and other urban infrastructure and services,Proposed,2027,2025-12-14T12:14:40.919445
59440-001,Kobuleti Bypass Project (Lots 1 and 2),https://www.adb.org/projects/59440-001/main,Georgia,Transport,Proposed,2027,2025-12-14T12:14:40.919536
59082-001,Green Energy Corridor Sulawesi Project (South),https://www.adb.org/projects/59082-001/main,Indonesia,Energy,Proposed,2027,2025-12-14T12:14:40.919626
58405-001,Resilient and Inclusive Road Sector Improvement Project II,https://www.adb.org/projects/58405-001/main,Armenia,Transport,Proposed,2027,2025-12-14T12:14:40.919811
58270-001,Dushanbe EcoMobility Project,https://www.adb.org/projects/58270-001/main,Tajikistan,Transport,Proposed,2027,2025-12-14T12:14:40.919928
59446-001,"Azerbaijan Railways Electrification, Signaling and Telecommunication Project (Baku–Boyuk Kesik)",https://www.adb.org/projects/59446-001/main,Azerbaijan,Transport,Proposed,2027,2025-12-14T12:14:40.920030
58393-001,Strengthening Coastal Protection and Food Security for Rural Climate Resilience,https://www.adb.org/projects/58393-001/main,Marshall Islands,"Agriculture, natural resources and rural development",Proposed,2027,2025-12-14T12:14:40.920124
59301-001,"Enhancing Green Fiscal Consolidation Program, Subprogram 1",https://www.adb.org/projects/59301-001/main,Bhutan,Public sector management,Proposed,2027,2025-12-14T12:14:40.920216
59067-001,Supporting Sustainable Universal Pension Schemes Project,https://www.adb.org/projects/59067-001/main,Bangladesh,Public sector management,Proposed,2027,2025-12-14T12:14:40.920353
58005-001,Third City Region Development Project,https://www.adb.org/projects/58005-001/main,Bangladesh,Water and other urban infrastructure and services,Proposed,2027,2025-12-14T12:14:40.920563
51360-001,"TransTurkmenistan Railway Modernization Project (Phase 1, Ashgabat-Dushak)",https://www.adb.org/projects/51360-001/main,Turkmenistan,Transport,Proposed,2027,2025-12-14T12:14:40.920700
59413-001,"Health Infrastructure Enhancement, Lifesaving Medical Advancements, and Logistics (HILAL) Project",https://www.adb.org/projects/59413-001/main,Türkiye,Health,Proposed,2027,2025-12-14T12:14:40.920857
52325-001,Secondary Cities Environment Improvement Project - Lam Dong Province,https://www.adb.org/projects/52325-001/main,Viet Nam,Water and other urban infrastructure and services,Proposed,2027,2025-12-14T12:14:40.920952
59303-001,Reforms to Accelerate Investment and Scale Employment - FMRF (Subprogram 1),https://www.adb.org/projects/59303-001/main,Nepal,Industry and trade,Proposed,2027,2025-12-14T12:14:40.921041
59501-001,Improving Capacity for Sustainable Rail Infrastructure Development,https://www.adb.org/projects/59501-001/main,Bangladesh,Transport,Proposed,2027,2025-12-14T12:14:40.921129
51059-004,Second Improving Governance and Public Sector Efficiency Program (Subprogram 1),https://www.adb.org/projects/51059-004/main,Azerbaijan,Public sector management,Proposed,2026,2025-12-14T12:14:40.921217
58463-001,National Total Electrification Support Program,https://www.adb.org/projects/58463-001/main,Philippines,Energy,Proposed,2026,2025-12-14T12:14:47.899983
55015-001,Preparing the Babeldaob Island Urban Resilience Project (formerly Strengthening Urban Planning and Management),https://www.adb.org/projects/55015-001/main,Palau,,Proposed,2026,2025-12-14T12:14:47.900091
53075-001,"Water Security, Alternative Energy, and Vital Ecosystems Restoration Project",https://www.adb.org/projects/53075-001/main,Cook Islands,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:47.900182
53407-001,Enhancing Skills for Productive Employment Project,https://www.adb.org/projects/53407-001/main,Nepal,Education,Proposed,2026,2025-12-14T12:14:47.900273
59312-001,Puducherry Integrated Urban Livability Improvement Project,https://www.adb.org/projects/59312-001/main,India,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:47.900359
56298-001,Infrastructure Development for Green and Resilient New Satellite City in the Khushig Valley Area,https://www.adb.org/projects/56298-001/main,Mongolia,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:47.900443
58473-001,Green Public Transport in Khyber Pakhtunkhwa Cities,https://www.adb.org/projects/58473-001/main,Pakistan,Transport,Proposed,2026,2025-12-14T12:14:47.900529
58086-001,Northern China Agriculture and Food Ecosystem Low-Carbon and Climate-Resilient Development Project,https://www.adb.org/projects/58086-001/main,"China, People's Republic of",Finance,Proposed,2026,2025-12-14T12:14:47.900614
59160-001,Karnataka Rural Roads Improvement Project,https://www.adb.org/projects/59160-001/main,India,Transport,Proposed,2026,2025-12-14T12:14:47.900699
52246-001,Climate-Resilient Sustainable Water Supply and Sanitation Project,https://www.adb.org/projects/52246-001/main,Sri Lanka,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:47.900784
58060-001,Resilient and Sustainable Urban Improvement Project,https://www.adb.org/projects/58060-001/main,Lao People's Democratic Republic,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:47.900869
58276-001,Bunakha Green Power Development Project (formerly Third Green Power Development Project),https://www.adb.org/projects/58276-001/main,Bhutan,Energy,Proposed,2026,2025-12-14T12:14:47.900953
58028-001,Resilient Amu Darya River Basin Sector Development Program,https://www.adb.org/projects/58028-001/main,Uzbekistan,"Agriculture, natural resources and rural development",Proposed,2026,2025-12-14T12:14:47.901038
59156-001,South Asia Subregional Economic Cooperation  Highway Improvement and Ecosystem Restoration Project,https://www.adb.org/projects/59156-001/main,Nepal,Transport,Proposed,2026,2025-12-14T12:14:47.901121
59441-001,Tbilisi Bypass Project (Lots 4 and 5),https://www.adb.org/projects/59441-001/main,Georgia,Transport,Proposed,2026,2025-12-14T12:14:47.901207
53273-001,Promoting Sustainability and Productivity for Enterprise Resilience and Upscaling in the Philippines (ProSPER) Project (formerly Mindanao Agro-Enterprise Development Project),https://www.adb.org/projects/53273-001/main,Philippines,"Agriculture, natural resources and rural development",Proposed,2026,2025-12-14T12:14:47.901291
59205-001,Conservation & Afforestation for Resilient Ecosystems (CARE),https://www.adb.org/projects/59205-001/main,Kyrgyz Republic,"Agriculture, natural resources and rural development",Proposed,2026,2025-12-14T12:14:47.901376
58537-001,Regional Water Security Project,https://www.adb.org/projects/58537-001/main,Indonesia,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:47.901461
59248-001,Coal to Solar Transition in Ger Districts of Ulaanbaatar City,https://www.adb.org/projects/59248-001/main,Mongolia,Energy,Proposed,2026,2025-12-14T12:14:47.901545
58416-001,Hybrid Power Energy Enhancement Project,https://www.adb.org/projects/58416-001/main,Tajikistan,Energy,Proposed,2026,2025-12-14T12:14:47.901628
59296-001,"Building a Strong and Inclusive Financial Ecosystem for Micro, Small and Medium Enterprises Subprogram 1",https://www.adb.org/projects/59296-001/main,Sri Lanka,Finance,Proposed,2026,2025-12-14T12:14:50.713193
58474-001,Empowering Mobility through Electric Urban Solutions (EMERGE),https://www.adb.org/projects/58474-001/main,Armenia,Transport,Proposed,2026,2025-12-14T12:14:50.713298
59070-001,Greater Mekong Subregion Smart and Sustainable Tourism Infrastructure for Inclusive Growth Project,https://www.adb.org/projects/59070-001/main,Lao People's Democratic Republic,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:50.713391
59251-001,Municipal Hospital Development Project,https://www.adb.org/projects/59251-001/main,Timor-Leste,Health,Proposed,2026,2025-12-14T12:14:50.713479
56172-002,South Asia Subregional Economic Cooperation Dhirasram Inland Container Depot Project,https://www.adb.org/projects/56172-002/main,Bangladesh,Transport,Proposed,2026,2025-12-14T12:14:50.713565
59206-001,Fresh Food Marketing System Project,https://www.adb.org/projects/59206-001/main,Papua New Guinea,"Agriculture, natural resources and rural development",Proposed,2026,2025-12-14T12:14:50.713650
59331-001,Skills Development System Transformation Program,https://www.adb.org/projects/59331-001/main,Kyrgyz Republic,Education,Proposed,2026,2025-12-14T12:14:50.713734
50240-003,Tina River Hydropower Project - Additional Financing,https://www.adb.org/projects/50240-003/main,Solomon Islands,Energy,Proposed,2026,2025-12-14T12:14:50.713822
59265-002,Gariuai Mini-Hydropower Rehabilitation Project,https://www.adb.org/projects/59265-002/main,Timor-Leste,Energy,Proposed,2026,2025-12-14T12:14:50.713909
59345-001,Skills for Future Economy Sector Development Program (additional financing),https://www.adb.org/projects/59345-001/main,Cambodia,Education,Proposed,2026,2025-12-14T12:14:50.713995
59337-001,Promoting Resilience and Opportunity for Inclusive Recovery Sector Development Program,https://www.adb.org/projects/59337-001/main,Sri Lanka,Public sector management,Proposed,2026,2025-12-14T12:14:50.714081
59194-001,"Trade, Investment, and Industry Development Program- Subprogram 1",https://www.adb.org/projects/59194-001/main,Sri Lanka,Industry and trade,Proposed,2026,2025-12-14T12:14:50.714165
59329-001,"Azerbaijan Railways Electrification, Signaling and Telecommunication Project (Bilajari-Yalama)",https://www.adb.org/projects/59329-001/main,Azerbaijan,Transport,Proposed,2026,2025-12-14T12:14:50.714251
58464-001,Accelerated Implementation of Government Energy Efficient Projects,https://www.adb.org/projects/58464-001/main,Philippines,Energy,Proposed,2026,2025-12-14T12:14:50.714335
58460-001,Transforming Higher Education and Research for Industry Value Enhancement (THRIVE) Program,https://www.adb.org/projects/58460-001/main,India,Education,Proposed,2026,2025-12-14T12:14:50.714419
59011-001,Social Insurance System Modernization and Digitalization Project,https://www.adb.org/projects/59011-001/main,Tajikistan,Public sector management,Proposed,2026,2025-12-14T12:14:50.714504
59217-001,Inclusive and Resilient Urban Development Project,https://www.adb.org/projects/59217-001/main,Bhutan,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:50.714588
58358-001,Seismic Safety Improvement Program 3,https://www.adb.org/projects/58358-001/main,Armenia,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:50.714673
59125-001,Strengthening Karnataka Public Schools Program,https://www.adb.org/projects/59125-001/main,India,Education,Proposed,2026,2025-12-14T12:14:50.714759
51131-001,Naulong Integrated Water Resources Development Project,https://www.adb.org/projects/51131-001/main,Pakistan,"Agriculture, natural resources and rural development",Proposed,2026,2025-12-14T12:14:50.714843
